Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JNJ,12/10/2020,152.820007,152.979996,151.679993,152.25,149.480087,7392900
JNJ,12/11/2020,151.529999,153.410004,151.229996,152.949997,150.167343,5977400
JNJ,12/14/2020,153.25,153.479996,148.990005,149.070007,146.357956,8547300
JNJ,12/15/2020,150,150.75,149.529999,150.570007,147.830673,7612600
JNJ,12/16/2020,150.199997,150.919998,149.550003,149.669998,146.947021,8486100
JNJ,12/17/2020,150.089996,153.889999,149.960007,153.619995,150.825165,9920300
JNJ,12/18/2020,153.649994,155.100006,151.669998,154.509995,151.698959,17137200
JNJ,12/21/2020,152.009995,153.410004,150.050003,153.020004,150.236084,7893400
JNJ,12/22/2020,152.399994,153.899994,151.860001,152.720001,149.941544,4699500
JNJ,12/23/2020,152.800003,153.600006,151.899994,151.940002,149.175735,4607300
JNJ,12/24/2020,151.850006,153.039993,151.820007,152.470001,149.696091,2114900
JNJ,12/28/2020,153.320007,153.869995,152.300003,153.190002,150.403,3855500
JNJ,12/29/2020,154.110001,154.929993,153.800003,154.139999,151.335724,5212000
JNJ,12/30/2020,154.740005,156.380005,154.600006,156.050003,153.210968,5412800
JNJ,12/31/2020,156.529999,157.660004,155.110001,157.380005,154.516769,5099900
JNJ,1/4/2021,157.240005,157.380005,154.130005,156.5,153.652771,11765900
JNJ,1/5/2021,156.25,158.759995,155.070007,158.339996,155.459305,9602300
JNJ,1/6/2021,157.240005,160.229996,156.720001,159.830002,156.92218,8230100
JNJ,1/7/2021,159,161.029999,158.350006,160.369995,157.452362,7747200
JNJ,1/8/2021,160.509995,161.100006,159.880005,160.039993,157.128372,8228900
JNJ,1/11/2021,160.559998,161.320007,158.770004,159.369995,156.470551,7066200
JNJ,1/12/2021,159.149994,159.660004,157.330002,158.130005,155.253113,6903200
JNJ,1/13/2021,158.229996,158.460007,156.75,157.889999,155.017487,6643100
JNJ,1/14/2021,160.449997,161.949997,159.610001,160.649994,157.727264,10030800
JNJ,1/15/2021,160.300003,161.410004,159.110001,160.300003,157.383652,7630800
JNJ,1/19/2021,162,163.039993,161.100006,162.779999,159.818512,9057600
JNJ,1/20/2021,163.199997,164.139999,161.800003,162.380005,159.425797,6839900
JNJ,1/21/2021,161.320007,162.479996,160.059998,161.729996,158.787613,6818000
JNJ,1/22/2021,162.360001,165.160004,161.869995,163.550003,160.574509,8137000
JNJ,1/25/2021,165.009995,166.089996,163.660004,165.979996,162.960297,9924400
JNJ,1/26/2021,169.699997,173.649994,169.389999,170.479996,167.378418,14205700
JNJ,1/27/2021,169.119995,170.919998,167.449997,167.880005,164.825729,14207300
JNJ,1/28/2021,168.199997,170.860001,167.800003,169.160004,166.082458,8944400
JNJ,1/29/2021,164.259995,166,160.550003,163.130005,160.16217,22505900
JNJ,2/1/2021,165.309998,165.309998,162.600006,162.710007,159.749786,9971400
JNJ,2/2/2021,163.380005,163.660004,161.179993,161.25,158.316345,11443300
JNJ,2/3/2021,160.940002,161.520004,159.570007,160.5,157.580002,8601900
JNJ,2/4/2021,161,162.089996,159.759995,161.990005,159.042892,7758100
JNJ,2/5/2021,164.860001,165.440002,163.860001,164.449997,161.45813,9495300
JNJ,2/8/2021,165.029999,165.919998,163.880005,164.919998,161.919586,6035300
JNJ,2/9/2021,165.199997,166.589996,164.970001,166.270004,163.245026,5544200
JNJ,2/10/2021,167.889999,167.940002,165.699997,166.809998,163.775192,5921300
JNJ,2/11/2021,167,167.380005,165.600006,166.059998,163.038834,4871300
